city,state_abbrev,month,month_num,avg_max_temp_c,avg_min_temp_c,avg_rainfall_mm,running_temp_category,source_period,source_url
Melbourne,VIC,November,11,22.1,10.4,61,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,December,12,24.2,12.0,51,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,January,1,31.2,18.1,18,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,February,2,31.5,18.3,14,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,March,3,29.6,16.8,21,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,April,4,26.0,13.8,36,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,May,5,22.3,10.5,87,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,June,6,19.5,8.6,128,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,July,7,18.5,8.0,148,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,August,8,19.1,8.4,121,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,September,9,20.5,9.6,82,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,October,10,23.4,11.6,40,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,November,11,26.7,14.3,26,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,December,12,29.5,16.5,10,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,January,1,27.0,19.5,80,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,February,2,26.7,19.7,119,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,March,3,25.3,18.0,88,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,April,4,23.0,15.0,119,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,May,5,20.3,12.0,107,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,June,6,17.8,9.2,100,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,July,7,17.1,8.1,73,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,August,8,18.7,8.9,74,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,September,9,21.1,11.4,62,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,October,10,23.0,14.0,64,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,November,11,24.1,16.0,85,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,December,12,26.0,18.2,74,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
